Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
303,752,H,WrightState,29,39,68,10,10,-625,4.5
303,753,V,LoyolaChicago,17,51,68,131.5,129,290,67.5
303,754,H,WiscMilwaukee,35,42,77,7.5,7.5,-350,pk
303,755,V,WeberState,43,41,84,4,3.5,-170,74.5
303,756,H,MontanaState,32,32,64,134.5,137,150,1
303,757,V,EasternKentucky,30,42,72,134.5,132.5,150,2
303,758,H,MoreheadState,44,47,91,3,3.5,-170,72.5
303,759,V,TennesseeTech,33,42,75,153,151,600,81
303,760,H,TennMartin,43,50,93,11,12,-900,4.5
303,761,V,EasternIllinois,31,23,54,140,136.5,463,71.5
303,762,H,AustinPeay,27,30,57,11,10.5,-625,8
303,763,V,TennesseeState,38,36,74,143,142,600,77.5
303,764,H,MurrayState,45,43,88,11,12,-900,5.5
304,521,V,BallState,24,47,82,114,114.5,215,64
304,522,H,WesternMichigan,38,33,84,4.5,6,-255,pk
304,523,V,SetonHall,40,38,78,142,142.5,1500,79
304,524,H,Louisville,51,44,95,16,17.5,-3000,7.5
304,525,V,Depaul,36,27,63,135.5,136.5,2500,75
304,526,H,WestVirginia,43,39,82,22,22.5,-5000,10.5
304,527,V,GeoWashington,36,26,62,141.5,143,240,76.5
304,528,H,Massachusetts,33,44,77,6.5,6.5,-280,5.5
304,529,V,Toledo,20,24,44,123,122,275,64.5
304,530,H,CentralMichigan,26,33,59,7,7.5,-335,3
304,531,V,NorthCarolina,42,44,86,9.5,9.5,-600,4
304,532,H,VirginiaTech,36,42,78,158.5,161,450,84.5
304,533,V,Rice,39,23,62,137,137,500,74
304,534,H,Marshall,36,40,76,9.5,10.5,-700,8
304,535,V,NoIllinois,23,38,61,123.5,124.5,145,2
304,536,H,EasternMichigan,38,37,75,3,3,-165,68
304,537,V,BostonCollege,34,35,69,146,146,120,1.5
304,538,H,NCState,43,31,74,2,2,-140,78.5
304,539,V,SaintLouis,27,41,68,136.5,137,325,70.5
304,540,H,Duquesne,27,43,70,7,8,-400,5
304,541,V,Fordham,30,29,59,140,141,1650,75
304,542,H,LaSalle,37,42,79,19,18.5,-3300,9
304,543,V,MiamiFlorida,25,43,68,4,3,-155,5.5
304,544,H,GeorgiaTech,41,37,78,139.5,141,135,76
304,545,V,Marquette,36,39,75,148,147,425,79
304,546,H,Pittsburgh,43,47,90,10.5,9.5,-550,3.5
304,547,V,IowaState,31,30,61,118.5,120,438,66
304,548,H,Nebraska,34,43,77,9,10,-575,5.5
304,549,V,BYU,35,43,78,8,8.5,-420,8
304,550,H,Wyoming,40,28,68,153.5,155,335,83
304,551,V,Mississippi,35,49,98,148,150,200,80
304,552,H,Arkansas,44,40,91,4,5.5,-240,2
304,553,V,MemphisU,37,32,69,7.5,6.5,-300,2.5
304,554,H,HoustonU,31,29,60,140,141,250,75
304,555,V,SoMississippi,28,37,65,129.5,128,-110,3
304,556,H,SMU,42,25,67,pk,pk,-110,71
